columns,rel_imp,sca_imp,percentage
Col1263,2.3243244290351868,0.0028267378645182913,0.00011533124237199319
Col1264,4.646363973617554,0.005610997084776027,0.0002296530625994571
Col1265,0.0,0.0,0.0
Col1266,0.0,0.0,0.0
Col1267,0.0,0.0,0.0
Col1268,2.652926802635193,0.0032332682121117857,0.00013179196224842913
Col1269,0.0,0.0,0.0
Col127,8.703210970503278,0.01040931610318969,0.0004279405106096809
Col1270,2.0319607853889465,0.0024603153906075223,0.00010057919099951091
Col1271,4.551315069198608,0.005495060450194467,0.0002249290771746514
Col1272,0.9283153936266899,0.0012522222192291163,4.8844072954768774e-05
Col1273,2.7311155796051025,0.003318831897162558,0.0001354566249087502
Col1274,4.56731379032135,0.005514258232722719,0.00022571707292985877
Col1275,1.45641028881073,0.00178242472136227,7.25188857102502e-05
Col1276,7.8740532547961255,0.009427062338431462,0.0003873415492422233
Col1277,2.9904762506484985,0.003610170791410881,0.0001477823235651373
Col1278,2.5490065813064575,0.003106199291837884,0.0001266200381407211
Col1279,2.3057644367218018,0.002806345370782474,0.00011445949800749638
Col128,7.033261299133301,0.008460308756436028,0.0003468810478216333
Col1280,2.0806822180747986,0.0025204999284851553,0.00010301774205553425
Col1281,1.4071409106254578,0.0017293739677695873,7.022920014127865e-05
Col1282,4.479617357254028,0.005406478765319133,0.00022134020336042569
Col1283,1.6666666865348816,0.0020130441474649837,8.238547207314002e-05
Col1284,3.998834490776062,0.004828240934024127,0.00019763011342561758
Col1285,0.0,0.0,0.0
Col1286,1.6565656661987305,0.001998928842646644,8.184294251579663e-05
Col1287,1.244369238615036,0.0015647668928516659,6.290528401430015e-05
Col1288,0.0,0.0,0.0
Col1289,0.0,0.0,0.0
Col129,12.208971351385117,0.01458003397725813,0.0006043104641961361
Col1290,1.3383575677871704,0.0016597131795883173,6.713199284208416e-05
Col1291,5.5989179611206055,0.006752033069049174,0.00027652497027356413
Col1292,0.0,0.0,0.0
Col1293,1.4070315957069397,0.0017292212095981626,7.022332879636685e-05
Col1294,0.0,0.0,0.0
Col1295,0.0,0.0,0.0
Col1296,2.615151524543762,0.00318909811425997,0.00012995754188002353
Col1297,3.389079213142395,0.004084126809107249,0.00016731678921554863
Col1298,3.827288866043091,0.004614445317413031,0.00018900146659696782
Col1299,1.5525817275047302,0.0018772594019022194,7.679147501143633e-05
Col13,77.39845585823059,0.10191684113350692,0.005554010633115801
Col130,3.0696970224380493,0.003703639796909305,0.00015164829294659894
Col1300,2.6084848642349243,0.003179782031404183,0.00012959947307648217
Col1301,0.0,0.0,0.0
Col1302,4.9750001430511475,0.006004197243228808,0.00024581366204516153
Col1303,0.0,0.0,0.0
Col1304,11.98642529733479,0.014315774001202536,0.0005925041709120446
Col1305,2.9879150390625,0.0036065917190956573,0.00014764475993871417
Col1306,0.0,0.0,0.0
Col1307,6.541057348251343,0.007861412456589969,0.00032245147974442764
Col1308,0.0,0.0,0.0
