feature,imp
Col717,0.0
Col722,0.0
Col1209,0.0
Col725,0.0
Col1205,0.0
Col726,0.0
Col729,0.0
Col493,0.0
Col738,0.0
Col7,0.0
Col82,0.0
Col1136,0.0
Col1135,0.0
Col938,0.0
Col94,0.0
Col1057,0.0
Col1056,0.0
Col949,0.0
Col1051,0.0
Col105,0.0
Col952,0.0
Col1046,0.0
Col1044,0.0
Col954,0.0
Col963,0.0
Col966,0.0
Col935,0.0
Col967,0.0
Col97,0.0
Col975,0.0
Col977,0.0
Col1020,0.0
Col980,0.0
Col982,0.0
Col1012,0.0
Col1009,0.0
Col983,0.0
Col1007,0.0
Col985,0.0
Col1000,0.0
Col989,0.0
Col1037,0.0
Col1267,0.0
Col928,0.0
Col906,0.0
Col821,0.0
Col1131,0.0
Col854,0.0
Col855,0.0
Col1120,0.0
Col856,0.0
Col1116,0.0
Col860,0.0
Col864,0.0
Col865,0.0
Col1107,0.0
Col11,0.0
Col867,0.0
Col92,0.0
Col1097,0.0
Col1094,0.0
Col1093,0.0
Col87,0.0
Col109,0.0
Col1089,0.0
Col1088,0.0
Col1087,0.0
Col884,0.0
Col108,0.0
Col1079,0.0
Col895,0.0
Col1071,0.0
Col899,0.0
Col869,0.0
Col1268,0.0
Col2078,0.0
Col657,0.0
Col1387,0.0
Col1385,0.0
Col1383,0.0
Col567,0.0
Col568,0.0
Col569,0.0
Col1377,0.0
Col658,0.0
Col1371,0.0
Col58,0.0
Col580,0.0
Col588,0.0
Col1360,0.0
Col136,0.0
Col1354,0.0
Col590,0.0
Col1349,0.0
Col607,0.0
Col610,0.0
Col1344,0.0
Col1343,0.0
Col1340,0.0
Col134,0.0
Col1339,0.0
Col1333,0.0
Col611,0.0
Col1330,0.0
Col1389,0.0
Col1391,0.0
Col559,0.0
Col556,0.0
Col1442,0.0
Col505,0.0
Col144,0.0
Col1439,0.0
Col1433,0.0
Col1432,0.0
Col507,0.0
Col514,0.0
Col1428,0.0
Col515,0.0
Col517,0.0
Col1423,0.0
Col1422,0.0
Col612,0.0
Col1421,0.0
Col1416,0.0
Col1413,0.0
Col1412,0.0
Col1410,0.0
Col536,0.0
Col1409,0.0
Col1408,0.0
Col1407,0.0
Col1403,0.0
Col543,0.0
Col546,0.0
Col550,0.0
Col555,0.0
Col524,0.0
Col615,0.0
Col571,0.0
Col646,0.0
Col643,0.0
Col634,0.0
Col1305,0.0
Col645,0.0
Col1302,0.0
Col130,0.0
Col617,0.0
Col1294,0.0
Col1293,0.0
Col1291,0.0
Col129,0.0
