feature,imp
Col989,0.0
Col99,0.0
Col991,0.0
Col992,0.0
Col993,0.0
Col975,0.0
Col645,0.0
Col949,0.0
Col944,0.0
Col903,0.0
Col904,0.0
Col905,0.0
Col906,0.0
Col907,0.0
Col908,0.0
Col909,0.0
Col911,0.0
Col912,0.0
Col913,0.0
Col914,0.0
Col915,0.0
Col946,0.0
Col917,0.0
Col920,0.0
Col924,0.0
Col925,0.0
Col927,0.0
Col928,0.0
Col929,0.0
Col930,0.0
Col935,0.0
Col936,0.0
Col938,0.0
Col94,0.0
Col941,0.0
Col919,0.0
Col644,0.0
Col641,0.0
Col635,0.0
Col2368,0.0
Col2370,0.0
Col2371,0.0
Col2372,0.0
Col2373,0.0
Col2382,0.0
Col2383,0.0
Col2384,0.0
Col2385,0.0
Col2386,0.0
Col239,0.0
Col2391,0.0
Col2366,0.0
Col2395,0.0
Col263,0.0
Col285,0.0
Col29,0.0
Col297,0.0
Col30,0.0
Col31,0.0
Col32,0.0
Col33,0.0
Col338,0.0
Col34,0.0
Col348,0.0
Col35,0.0
Col2397,0.0
Col359,0.0
Col2364,0.0
Col2357,0.0
Col2299,0.0
Col2302,0.0
Col2303,0.0
Col2306,0.0
Col2307,0.0
Col2309,0.0
Col2310,0.0
Col2312,0.0
Col2313,0.0
Col2316,0.0
Col2318,0.0
Col2320,0.0
Col2363,0.0
Col2321,0.0
Col2324,0.0
Col2326,0.0
Col2327,0.0
Col2328,0.0
Col2330,0.0
Col2333,0.0
Col2336,0.0
Col2337,0.0
Col2338,0.0
Col2339,0.0
Col2340,0.0
Col2349,0.0
Col2322,0.0
Col2294,0.0
Col363,0.0
Col37,0.0
Col515,0.0
Col517,0.0
Col535,0.0
Col548,0.0
Col55,0.0
Col556,0.0
Col565,0.0
Col57,0.0
Col571,0.0
Col577,0.0
Col578,0.0
Col58,0.0
Col51,0.0
Col580,0.0
Col584,0.0
Col585,0.0
Col587,0.0
Col588,0.0
Col59,0.0
Col596,0.0
Col597,0.0
Col603,0.0
Col604,0.0
Col605,0.0
Col609,0.0
Col610,0.0
Col582,0.0
Col369,0.0
Col500,0.0
Col492,0.0
Col38,0.0
Col380,0.0
Col382,0.0
Col383,0.0
Col384,0.0
Col385,0.0
Col386,0.0
Col388,0.0
Col389,0.0
Col390,0.0
Col391,0.0
Col398,0.0
Col496,0.0
Col40,0.0
Col407,0.0
Col41,0.0
Col413,0.0
Col414,0.0
Col424,0.0
Col427,0.0
Col436,0.0
Col439,0.0
Col47,0.0
Col48,0.0
Col482,0.0
Col49,0.0
Col401,0.0
Col1818,0.0
Col999,0.0
Col1277,0.0
Col1046,0.0
Col1044,0.0
Col1043,0.0
Col1319,0.0
Col1042,0.0
Col1041,0.0
Col1040,0.0
Col104,0.0
Col1038,0.0
Col1037,0.0
Col1036,0.0
Col1032,0.0
Col1047,0.0
Col1030,0.0
Col1322,0.0
Col133,0.0
Col1330,0.0
Col1332,0.0
Col1333,0.0
Col1339,0.0
Col134,0.0
Col1340,0.0
Col1343,0.0
Col1344,0.0
Col1345,0.0
Col1346,0.0
Col1321,0.0
Col1349,0.0
Col1317,0.0
Col1051,0.0
Col129,0.0
Col1290,0.0
Col1291,0.0
Col1292,0.0
Col1293,0.0
Col1294,0.0
Col1062,0.0
Col1299,0.0
Col1061,0.0
Col130,0.0
Col1060,0.0
Col1302,0.0
Col105,0.0
Col1303,0.0
Col1305,0.0
Col1309,0.0
Col131,0.0
Col1059,0.0
Col1310,0.0
Col1132,0.0
Col1057,0.0
Col1313,0.0
Col1056,0.0
Col1315,0.0
Col1053,0.0
Col1316,0.0
Col1304,0.0
Col1351,0.0
Col1352,0.0
Col1354,0.0
Col1406,0.0
Col1407,0.0
Col1408,0.0
Col1029,0.0
Col1409,0.0
Col1410,0.0
Col1412,0.0
Col1413,0.0
Col1416,0.0
Col1418,0.0
Col1421,0.0
Col1422,0.0
Col1403,0.0
Col1423,0.0
Col1426,0.0
Col1428,0.0
Col143,0.0
Col1431,0.0
Col1432,0.0
Col1433,0.0
Col1439,0.0
Col1441,0.0
Col1442,0.0
Col1443,0.0
Col1444,0.0
Col1450,0.0
Col1425,0.0
Col1402,0.0
Col1400,0.0
Col140,0.0
Col1357,0.0
Col136,0.0
Col1360,0.0
Col1363,0.0
Col1365,0.0
Col1367,0.0
Col137,0.0
Col1371,0.0
Col1373,0.0
Col1374,0.0
Col1375,0.0
Col1377,0.0
Col138,0.0
Col1380,0.0
Col1381,0.0
Col1383,0.0
Col1385,0.0
Col1386,0.0
Col1387,0.0
Col1389,0.0
Col1391,0.0
Col1393,0.0
Col1394,0.0
Col1395,0.0
Col103,0.0
Col1396,0.0
Col1398,0.0
Col1287,0.0
Col1451,0.0
Col1283,0.0
Col1279,0.0
Col111,0.0
Col1172,0.0
Col1173,0.0
Col1109,0.0
Col1174,0.0
Col1176,0.0
Col1108,0.0
Col1179,0.0
Col1180,0.0
Col1181,0.0
Col1107,0.0
Col1106,0.0
Col1168,0.0
Col1103,0.0
Col1184,0.0
Col1099,0.0
Col1185,0.0
Col1186,0.0
Col1187,0.0
Col1188,0.0
Col1097,0.0
Col1189,0.0
Col1192,0.0
Col1193,0.0
Col1197,0.0
Col1095,0.0
Col1183,0.0
Col1094,0.0
Col1110,0.0
Col1114,0.0
Col1135,0.0
Col1136,0.0
Col1137,0.0
Col1131,0.0
Col1130,0.0
Col1138,0.0
Col114,0.0
Col1141,0.0
Col113,0.0
Col1121,0.0
Col1143,0.0
Col1144,0.0
Col1113,0.0
Col1120,0.0
Col1146,0.0
Col115,0.0
Col1150,0.0
Col1151,0.0
Col112,0.0
Col1152,0.0
Col1154,0.0
Col1161,0.0
Col1162,0.0
Col1116,0.0
Col1164,0.0
Col1167,0.0
Col1145,0.0
Col1198,0.0
Col1093,0.0
Col1092,0.0
Col1082,0.0
Col1236,0.0
Col1238,0.0
Col124,0.0
Col1241,0.0
Col108,0.0
Col1242,0.0
Col1245,0.0
Col1079,0.0
Col1074,0.0
Col1246,0.0
Col1071,0.0
Col1234,0.0
Col1069,0.0
Col1249,0.0
Col1064,0.0
Col125,0.0
Col1258,0.0
Col126,0.0
Col1063,0.0
Col1263,0.0
Col1266,0.0
Col1267,0.0
Col1268,0.0
Col1272,0.0
Col1816,0.0
Col1065,0.0
Col1233,0.0
Col1232,0.0
Col1084,0.0
Col1091,0.0
Col1199,0.0
Col109,0.0
Col120,0.0
Col1200,0.0
Col1202,0.0
Col1089,0.0
Col1204,0.0
Col1205,0.0
Col1207,0.0
Col1208,0.0
Col1209,0.0
Col121,0.0
Col1211,0.0
Col1212,0.0
Col1213,0.0
Col1215,0.0
Col1217,0.0
Col1220,0.0
Col1088,0.0
Col1222,0.0
Col1224,0.0
Col1087,0.0
Col1229,0.0
Col123,0.0
Col1230,0.0
Col1231,0.0
Col1281,0.0
Col1453,0.0
Col1311,0.0
Col1455,0.0
Col1658,0.0
Col1012,0.0
Col1660,0.0
Col1664,0.0
Col1669,0.0
Col1670,0.0
Col1672,0.0
Col1674,0.0
Col1676,0.0
Col1677,0.0
Col1681,0.0
Col1454,0.0
Col1657,0.0
Col1684,0.0
Col1689,0.0
Col1691,0.0
Col1692,0.0
Col1693,0.0
Col1694,0.0
Col1697,0.0
Col1010,0.0
Col1701,0.0
Col1704,0.0
Col1706,0.0
Col1707,0.0
Col1712,0.0
Col1688,0.0
Col1713,0.0
Col1655,0.0
Col1652,0.0
Col159,0.0
Col1590,0.0
Col1593,0.0
Col1594,0.0
Col1597,0.0
Col1599,0.0
Col160,0.0
Col1600,0.0
Col1602,0.0
Col1603,0.0
Col1608,0.0
Col161,0.0
Col1654,0.0
Col1610,0.0
Col1616,0.0
Col1015,0.0
Col1626,0.0
Col1628,0.0
Col1629,0.0
Col1014,0.0
Col1632,0.0
Col1633,0.0
Col1634,0.0
Col1640,0.0
Col1645,0.0
Col1013,0.0
Col1612,0.0
Col1717,0.0
Col1718,0.0
Col1009,0.0
Col1006,0.0
Col1776,0.0
Col1777,0.0
Col1778,0.0
Col1781,0.0
Col1788,0.0
Col1789,0.0
Col1001,0.0
Col1791,0.0
Col1793,0.0
Col1794,0.0
Col1795,0.0
Col1768,0.0
Col1796,0.0
Col1000,0.0
Col100,0.0
Col1800,0.0
Col1801,0.0
Col1802,0.0
Col1803,0.0
Col1804,0.0
Col1805,0.0
Col1807,0.0
Col1813,0.0
Col1814,0.0
Col1815,0.0
Col1797,0.0
Col1767,0.0
Col1766,0.0
Col1764,0.0
Col1720,0.0
Col1722,0.0
Col1723,0.0
Col1726,0.0
Col1728,0.0
Col1008,0.0
Col1730,0.0
Col1731,0.0
Col1735,0.0
Col1738,0.0
Col1739,0.0
Col1740,0.0
Col1743,0.0
Col1744,0.0
Col1745,0.0
Col1746,0.0
Col1748,0.0
Col1749,0.0
Col1007,0.0
Col1752,0.0
Col1753,0.0
Col1755,0.0
Col1756,0.0
Col1759,0.0
Col1760,0.0
Col1761,0.0
Col1762,0.0
Col1587,0.0
Col1585,0.0
Col1683,0.0
Col154,0.0
Col1020,0.0
Col1535,0.0
Col1538,0.0
Col1478,0.0
Col1540,0.0
Col1477,0.0
Col1541,0.0
Col1471,0.0
Col1542,0.0
Col1545,0.0
Col1550,0.0
Col1551,0.0
Col1552,0.0
Col1554,0.0
Col1556,0.0
Col1469,0.0
Col1467,0.0
Col1560,0.0
Col1564,0.0
Col1464,0.0
Col1571,0.0
Col1459,0.0
Col1456,0.0
Col1572,0.0
Col1573,0.0
Col1531,0.0
Col1528,0.0
Col1527,0.0
Col1525,0.0
Col1021,0.0
Col149,0.0
Col1496,0.0
Col1497,0.0
Col1489,0.0
Col1498,0.0
Col1499,0.0
Col1488,0.0
Col150,0.0
Col1500,0.0
Col1485,0.0
Col1480,0.0
Col1574,0.0
Col1502,0.0
Col1505,0.0
Col1506,0.0
Col1511,0.0
Col1512,0.0
Col1518,0.0
Col1519,0.0
Col1521,0.0
Col1522,0.0
Col148,0.0
Col1523,0.0
Col1479,0.0
Col1524,0.0
Col1028,0.0
Col1575,0.0
Col1491,0.0
Col1581,0.0
Col1577,0.0
Col1582,0.0
Col1579,0.0
Col1584,0.0
Col1576,0.0
Col102,0.0
Col320,0.25
Col318,0.25
Col232,0.25
Col611,0.25
Col316,0.25
Col374,0.25
Col590,0.25
Col217,0.25
Col2315,0.25
Col897,0.25
Col812,0.25
Col2009,0.25
Col620,0.25
Col586,0.25
Col323,0.25
Col2331,0.25
Col471,0.25
Col579,0.25
Col1957,0.25
Col1364,0.25
Col1227,0.25
Col2217,0.25
Col778,0.25
Col537,0.25
Col503,0.25
Col533,0.25
Col524,0.25
Col336,0.25
Col758,0.25
Col1909,0.25
Col312,0.25
Col1544,0.25
Col748,0.25
Col265,0.25
Col400,0.25
Col835,0.25
Col1592,0.25
Col1503,0.25
Col751,0.25
Col365,0.25
Col1288,0.25
Col819,0.25
Col1566,0.25
Col301,0.25
Col717,0.25
Col415,0.25
Col186,0.25
Col410,0.25
Col2052,0.25
Col501,0.5
Col569,0.5
Col856,0.5
Col2394,0.5
Col197,0.5
Col507,0.5
Col509,0.5
Col695,0.5
Col827,0.5
Col1989,0.5
Col520,0.5
Col512,0.5
Col1946,0.5
Col828,0.5
Col784,0.5
Col650,0.5
Col619,0.5
Col235,0.5
Col796,0.5
Col262,0.5
Col837,0.5
Col659,0.5
Col767,0.5
Col632,0.5
Col303,0.5
Col315,0.5
Col127,0.5
Col769,0.5
Col223,0.5
Col218,0.75
Col87,0.75
Col634,0.75
Col739,0.75
Col306,0.75
Col844,0.75
Col622,0.75
Col142,0.75
Col541,0.75
Col550,0.75
Col779,0.75
Col557,0.75
Col558,0.75
Col662,0.75
Col616,0.75
Col774,0.75
Col676,0.75
Col628,0.75
Col229,0.75
Col1963,0.75
Col2393,0.75
Col2003,0.75
Col787,0.75
Col2392,0.75
Col213,0.75
Col432,0.75
Col809,0.75
Col397,0.75
Col423,0.75
Col420,0.75
Col859,0.75
Col238,0.75
Col429,1.0
Col426,1.0
Col639,1.0
Col790,1.0
Col801,1.0
Col656,1.0
Col194,1.0
Col591,1.0
Col344,1.0
Col576,1.0
Col327,1.0
Col518,1.0
Col536,1.0
Col527,1.0
Col236,1.0
Col493,1.25
Col738,1.25
Col343,1.25
Col459,1.25
Col657,1.25
Col395,1.25
Col522,1.25
Col606,1.25
Col28,1.25
Col287,1.25
Col755,1.25
Col698,1.25
Col840,1.25
Col630,1.5
Col403,1.5
Col1945,1.5
Col141,1.5
Col144,1.5
Col325,1.5
Col643,1.5
Col157,1.5
Col473,1.5
Col308,1.5
Col206,1.5
Col438,1.5
Col435,1.5
Col404,1.5
Col430,1.5
Col19,1.5
Col433,1.75
Col292,1.75
Col540,1.75
Col442,1.75
Col631,1.75
Col153,1.75
Col592,1.75
Col360,1.75
Col330,1.75
Col195,1.75
Col147,1.75
Col244,1.75
Col326,1.75
Col264,1.75
Col655,2.0
Col158,2.0
Col561,2.0
Col199,2.0
Col803,2.0
Col528,2.0
Col9,2.0
Col770,2.0
Col245,2.0
Col284,2.0
Col421,2.0
Col848,2.0
Col514,2.0
Col505,2.25
Col198,2.25
Col677,2.25
Col523,2.25
Col510,2.25
Col672,2.25
Col728,2.25
Col849,2.25
Col568,2.25
Col225,2.25
Col555,2.25
Col771,2.25
Col759,2.25
Col370,2.5
Col649,2.5
Col499,2.5
Col719,2.5
Col617,2.5
Col692,2.5
Col152,2.5
Col16,2.75
Col441,2.75
Col135,2.75
Col567,2.75
Col638,2.75
Col378,2.75
Col798,2.75
Col818,2.75
Col188,2.75
Col178,3.0
Col825,3.0
Col749,3.0
Col181,3.0
Col14,3.0
Col705,3.0
Col434,3.0
Col598,3.0
Col572,3.0
Col475,3.0
Col256,3.0
Col783,3.25
Col155,3.25
Col589,3.25
Col595,3.25
Col405,3.25
Col599,3.25
Col319,3.25
Col745,3.25
Col607,3.25
Col67,3.25
Col412,3.25
Col612,3.25
Col757,3.25
Col706,3.5
Col781,3.5
Col772,3.5
Col233,3.5
Col345,3.5
Col211,3.5
Col208,3.5
Col516,3.5
Col4,3.5
Col916,3.5
Col219,3.5
Col15,3.75
Col258,3.75
Col5,3.75
Col302,3.75
Col379,3.75
Col488,3.75
Col660,3.75
Col419,3.75
Col8,3.75
Col362,3.75
Col231,3.75
Col422,3.75
Col808,4.0
Col855,4.0
Col802,4.0
Col854,4.0
Col17,4.0
Col366,4.0
Col156,4.0
Col708,4.0
Col551,4.0
Col293,4.0
Col921,4.0
Col697,4.0
Col402,4.0
Col624,4.0
Col687,4.0
Col679,4.0
Col6,4.0
Col613,4.25
Col726,4.25
Col776,4.25
Col168,4.25
Col399,4.25
Col21,4.25
Col467,4.25
Col354,4.25
Col709,4.25
Col666,4.25
Col11,4.25
Col846,4.25
Col7,4.25
Col626,4.5
Col804,4.5
Col428,4.5
Col543,4.5
Col546,4.5
Col202,4.5
