feature,imp
Col867,0.0
Col884,0.0
Col887,0.0
Col89,0.0
Col90,0.0
Col813,0.0
Col1607,0.0
Col457,0.0
Col45,0.0
Col2262,0.0
Col2265,0.0
Col227,0.0
Col2273,0.0
Col2274,0.0
Col2277,0.0
Col2281,0.0
Col2282,0.0
Col2283,0.0
Col2284,0.0
Col2285,0.0
Col2287,0.0
Col2288,0.0
Col2294,0.0
Col2295,0.0
Col2298,0.0
Col230,0.0
Col2304,0.0
Col2306,0.0
Col2309,0.0
Col2310,0.0
Col2312,0.0
Col2313,0.0
Col2317,0.0
Col2319,0.0
Col2321,0.0
Col2322,0.0
Col2261,0.0
Col2260,0.0
Col226,0.0
Col2255,0.0
Col2169,0.0
Col2172,0.0
Col2174,0.0
Col2175,0.0
Col2176,0.0
Col2178,0.0
Col2184,0.0
Col2186,0.0
Col2189,0.0
Col2191,0.0
Col2193,0.0
Col2194,0.0
Col2199,0.0
Col2323,0.0
Col2204,0.0
Col2207,0.0
Col2211,0.0
Col2214,0.0
Col2222,0.0
Col2223,0.0
Col2225,0.0
Col2227,0.0
Col2228,0.0
Col2236,0.0
Col2237,0.0
Col2240,0.0
Col2247,0.0
Col2249,0.0
Col2205,0.0
Col456,0.0
Col2326,0.0
Col2333,0.0
Col307,0.0
Col310,0.0
Col311,0.0
Col314,0.0
Col315,0.0
Col32,0.0
Col327,0.0
Col341,0.0
Col349,0.0
Col35,0.0
Col351,0.0
Col352,0.0
Col353,0.0
Col360,0.0
Col361,0.0
Col362,0.0
Col38,0.0
Col382,0.0
Col39,0.0
Col398,0.0
Col400,0.0
Col401,0.0
Col424,0.0
Col427,0.0
Col432,0.0
Col44,0.0
Col446,0.0
Col304,0.0
Col301,0.0
Col298,0.0
Col292,0.0
Col2340,0.0
Col2343,0.0
Col2344,0.0
Col2345,0.0
Col2346,0.0
Col2348,0.0
Col2352,0.0
Col2354,0.0
Col2359,0.0
Col2365,0.0
Col2369,0.0
Col2370,0.0
Col2372,0.0
Col2331,0.0
Col2375,0.0
Col2382,0.0
Col2385,0.0
Col2388,0.0
Col242,0.0
Col256,0.0
Col266,0.0
Col271,0.0
Col272,0.0
Col276,0.0
Col282,0.0
Col284,0.0
Col288,0.0
Col29,0.0
Col2377,0.0
Col1603,0.0
Col999,0.0
Col1433,0.0
Col1448,0.0
Col1200,0.0
Col1450,0.0
Col1452,0.0
Col1453,0.0
Col1456,0.0
Col120,0.0
Col1447,0.0
Col112,0.0
Col1462,0.0
Col1463,0.0
Col1466,0.0
Col1073,0.0
Col1472,0.0
Col1474,0.0
Col1198,0.0
Col1199,0.0
Col109,0.0
Col1443,0.0
Col1438,0.0
Col1411,0.0
Col1127,0.0
Col1163,0.0
Col1414,0.0
Col1415,0.0
Col1420,0.0
Col1208,0.0
Col1421,0.0
Col1422,0.0
Col1424,0.0
Col1207,0.0
Col1428,0.0
Col1430,0.0
Col1151,0.0
Col1434,0.0
Col1437,0.0
Col1071,0.0
Col1477,0.0
Col1409,0.0
Col1478,0.0
Col1092,0.0
Col1518,0.0
Col1519,0.0
Col119,0.0
Col1026,0.0
Col1093,0.0
Col1520,0.0
Col1521,0.0
Col1516,0.0
Col1175,0.0
Col1020,0.0
Col1527,0.0
Col1528,0.0
Col1188,0.0
Col1530,0.0
Col1531,0.0
Col1532,0.0
Col1021,0.0
Col1515,0.0
Col1190,0.0
Col1116,0.0
Col1484,0.0
Col1485,0.0
Col1487,0.0
Col1490,0.0
Col1173,0.0
Col1492,0.0
Col1493,0.0
Col1496,0.0
Col1499,0.0
Col1501,0.0
Col1502,0.0
Col1503,0.0
Col1194,0.0
Col1507,0.0
Col1117,0.0
Col1510,0.0
Col1031,0.0
Col1480,0.0
Col1534,0.0
Col1406,0.0
Col1403,0.0
Col1150,0.0
Col1283,0.0
Col1287,0.0
Col1293,0.0
Col1298,0.0
Col1053,0.0
Col1062,0.0
Col1229,0.0
Col1156,0.0
Col116,0.0
Col1223,0.0
Col130,0.0
Col1305,0.0
Col1064,0.0
Col1309,0.0
Col1143,0.0
Col1299,0.0
Col1279,0.0
Col1276,0.0
Col1275,0.0
Col1239,0.0
Col1245,0.0
Col1246,0.0
Col1234,0.0
Col1152,0.0
Col1059,0.0
Col1256,0.0
Col1233,0.0
Col1056,0.0
Col1259,0.0
Col126,0.0
Col1262,0.0
Col1264,0.0
Col1268,0.0
Col1055,0.0
Col1270,0.0
Col1230,0.0
Col132,0.0
Col1405,0.0
Col1142,0.0
Col1331,0.0
Col1219,0.0
Col1137,0.0
Col1216,0.0
Col1383,0.0
Col1384,0.0
Col1385,0.0
Col1386,0.0
Col1375,0.0
Col1389,0.0
Col1215,0.0
Col1394,0.0
Col1162,0.0
Col1397,0.0
Col1398,0.0
Col1602,0.0
Col14,0.0
Col1089,0.0
Col1371,0.0
Col1070,0.0
Col137,0.0
Col1335,0.0
Col1339,0.0
Col134,0.0
Col1340,0.0
Col1342,0.0
Col1345,0.0
Col1347,0.0
Col1348,0.0
Col1352,0.0
Col1359,0.0
Col1361,0.0
Col1362,0.0
Col1363,0.0
Col1047,0.0
Col1138,0.0
Col1366,0.0
Col1368,0.0
Col1067,0.0
Col1535,0.0
Col1237,0.0
Col1099,0.0
Col1564,0.0
Col1551,0.0
Col1569,0.0
Col1550,0.0
Col1568,0.0
Col1017,0.0
Col1179,0.0
Col1018,0.0
Col1074,0.0
Col1178,0.0
Col1543,0.0
Col1593,0.0
Col1552,0.0
Col1002,0.0
Col1573,0.0
Col1549,0.0
Col1595,0.0
Col1570,0.0
Col1080,0.0
Col1544,0.0
Col1095,0.0
Col1112,0.0
Col1596,0.0
Col1545,0.0
Col1547,0.0
Col1546,0.0
Col1565,0.0
Col1576,0.0
Col1000,0.0
Col1562,0.0
Col1096,0.0
Col1601,0.0
Col1581,0.0
Col1582,0.0
Col1583,0.0
Col1014,0.0
Col1007,0.0
Col1559,0.0
Col1176,0.0
Col1103,0.0
Col1015,0.0
Col158,0.0
Col1584,0.0
Col1587,0.0
Col1577,0.0
Col1079,0.0
Col1086,0.0
Col1102,0.0
Col1591,0.0
Col1579,0.0
Col1011,0.0
Col369,0.0002705573169488441
Col2244,0.0004880889538328274
Col460,0.0006361034846233331
Col658,0.0008160648027031211
Col1912,0.0008353690429783649
Col213,0.001170467551865871
Col778,0.00125817140882103
Col1069,0.00139527662176387
Col1468,0.0014332225592489085
Col2077,0.0015397709564965545
Col1817,0.0015873243720791184
Col822,0.001595765686351698
Col832,0.0016060429059206213
Col623,0.0016260173786711392
Col1379,0.0016808722090756241
Col285,0.0017183800357929043
Col357,0.0017242006462712903
Col557,0.0017930482213635278
Col521,0.0018250935370720184
Col491,0.0018266974718586957
Col151,0.0018319592345642597
Col823,0.0019161036244394736
Col2115,0.0020425258232616584
Col1590,0.002092022892177833
Col1273,0.002315519960511037
Col747,0.0024036563068326154
Col904,0.002429989673270521
Col153,0.0024726334748515627
Col1785,0.002689291205293349
Col492,0.002989777819205476
Col2041,0.003072045989147374
Col78,0.0030940996650964184
Col2297,0.0031631387884641254
Col245,0.003253374168562292
Col1794,0.003300169309847858
Col779,0.0033734168204389123
Col340,0.0034036648352512564
Col2078,0.003419794058946349
Col2242,0.003496918768727243
Col1753,0.0036275682457450127
Col696,0.003654529717335424
Col1800,0.0037457497581249908
Col560,0.003746029152042428
Col707,0.0037531914498721555
Col2161,0.0038461218649529214
Col945,0.0038756085605977974
Col1370,0.003909135062120554
Col1464,0.003925451454272128
Col930,0.003993288724544527
Col494,0.004052228161112536
Col1860,0.004068331674783703
Col517,0.004361912031252374
Col580,0.0043694954539436415
Col1558,0.004440574913369429
Col1388,0.004445164066627898
Col1982,0.004477412313473319
Col1652,0.004549858610305474
Col1525,0.004572836465510894
Col553,0.00458848382370136
Col294,0.004706115162831073
Col381,0.004708381045288931
Col845,0.004738218711614879
Col2179,0.004749438085627611
Col356,0.004823285198689885
Col831,0.004843177661658268
Col1377,0.004856555555968121
Col2380,0.0049387145953997185
Col588,0.0051469195116426005
Col528,0.005265916614849698
Col1442,0.00539435449094366
Col1594,0.005424237590264351
Col1561,0.005438483452484926
Col2016,0.005441481526992148
Col738,0.005498280124392655
Col1542,0.005541696066146352
Col615,0.00557265466307222
Col429,0.00564584368084593
Col526,0.005748290071154367
Col1355,0.005774033283232759
Col1935,0.005785101777953708
Col562,0.005917343493818161
Col1349,0.005972696125360809
Col1636,0.005980642967161117
Col363,0.006042085005039373
Col754,0.00605270426324258
Col354,0.006055252785015086
Col1399,0.006076873664765193
Col1029,0.006087256752983751
Col810,0.006226692448540848
Col644,0.006271543762571701
Col1548,0.0063298697220556515
Col1497,0.00638461871593958
Col254,0.006422383909252852
Col1742,0.006475546111310972
Col1702,0.00656287617635245
Col1365,0.006576500683224338
Col1154,0.006742824268520274
Col549,0.006839404754330548
Col436,0.0068643110500867886
Col2028,0.006893437930987602
Col821,0.006899702478616969
Col1505,0.006911335526917124
Col359,0.006936762955017097
Col545,0.006959772992412833
Col506,0.0070032434574586015
Col1750,0.007028625750987905
Col595,0.007033384061919498
Col2357,0.007055780945869103
Col1606,0.007087964859957974
Col1754,0.007169196745036816
Col1001,0.007202755616231737
Col564,0.007289571288862088
Col866,0.007298915323036858
Col278,0.007375556221673089
Col445,0.007399071622156112
Col1865,0.007507214365906567
Col616,0.007549750326555795
Col2224,0.00757420052507614
Col345,0.007652178228661557
Col1761,0.007685183547499377
Col948,0.007712974047366876
Col921,0.007725554591361373
Col1514,0.007793626114928913
Col879,0.007824213210805928
Col490,0.007826483797500656
Col855,0.007838795166001918
Col237,0.007913431212929882
Col1280,0.007945032779070578
Col1446,0.008080587538278195
Col1790,0.008112749955043312
Col1124,0.00811758207936189
Col308,0.008135979631478836
Col1153,0.00818998599961859
Col705,0.008284433025328566
Col1133,0.008293576210279615
Col679,0.008383835841167439
Col854,0.008438319767407623
Col1232,0.008490346045195536
Col386,0.008553345065560854
Col74,0.008581124699442666
Col544,0.008608525070929659
Col2047,0.008636579267657176
Col1522,0.008689725548668233
Col911,0.008720117320287499
Col1286,0.008776935514748837
Col1777,0.008783052961767216
Col1226,0.008814811183292448
Col730,0.008895771438028834
Col201,0.00889976763436397
Col1387,0.008943150065713532
Col1743,0.008972753612700802
Col104,0.009012802618575485
Col1879,0.009196324506685179
Col235,0.009217397169529334
Col1541,0.009470729467915457
Col224,0.009486778073708605
Col497,0.009495233682517161
Col1449,0.00957254252232321
Col514,0.009580535597761002
Col1759,0.009619737758203491
Col1356,0.009621324922274032
Col1557,0.009651436184730473
Col1832,0.009665531448907232
Col634,0.009674659750547562
Col2251,0.009677103173061858
Col388,0.009757989114598199
Col1088,0.009763147163106214
Col377,0.009797743211291997
Col807,0.009853342690643106
Col1068,0.009876769185573087
Col883,0.009936041836201268
Col852,0.010001499956183192
Col622,0.010007904083059694
Col2286,0.010015376871751984
Col95,0.010136608643573798
Col2230,0.010157024030116294
Col1455,0.010167306821538402
Col2327,0.010211371082799455
Col1620,0.010272271791266337
Col274,0.010283387311973287
Col1792,0.010313125983299769
Col439,0.010358827960883379
Col365,0.010369226010332792
Col309,0.010380109363141892
Col1977,0.010421012495015824
Col590,0.01045295358220524
Col2135,0.010563869663832888
Col1599,0.010602126082999968
Col570,0.010602376061220069
Col788,0.010621127681590228
Col1795,0.010634621362754195
Col375,0.010694139168332286
Col290,0.01073704897945802
Col1351,0.01091473785818689
Col2101,0.011025621670442033
Col273,0.011179212533211205
Col1244,0.011282992810648557
Col787,0.011328057435627247
Col2182,0.01134066414131371
Col687,0.011354777522855904
Col325,0.011358344616296165
Col501,0.011406978033451075
Col763,0.011493126174411696
Col819,0.011636237530168979
Col1757,0.011648386359056904
Col2112,0.011771961522859926
Col306,0.011786903428247253
Col1444,0.0117890012354318
Col1862,0.011816340107134199
Col1255,0.01181835623939342
Col1277,0.011910863129386096
Col1843,0.011940484542964374
Col2190,0.011965142148247185
Col297,0.012002579914913034
Col139,0.012089051226375568
Col2060,0.012234215439456169
Col1555,0.012237340845902929
Col1404,0.012284948921234105
Col81,0.012295755788772879
Col1756,0.012346287054888265
Col1712,0.01237222432988952
Col670,0.012416383518585804
Col1769,0.012441163413429275
Col1900,0.012533074667019561
Col1928,0.012601682836033003
Col972,0.012666150661867888
Col370,0.01269204010125992
Col1998,0.012698838534915546
Col1604,0.012699844208664175
Col1560,0.012715958650828547
Col869,0.012876435956611402
Col697,0.012879293904724011
Col1751,0.012948784713111504
Col1688,0.012959703830519339
Col777,0.012961489577472953
Col251,0.012987939861189164
Col509,0.0129955174672727
Col1322,0.013043171765500839
Col1671,0.013099209306684435
Col936,0.013102253218727376
Col1724,0.013119028877983621
Col853,0.013289545978572216
Col2259,0.013317517775173884
Col535,0.013333824999105959
Col2070,0.013357843994440151
Col2075,0.013382809098935697
Col712,0.013383704338787602
Col701,0.01338573178284439
Col85,0.013389647817571203
Col328,0.013472224615883339
Col798,0.0134740864241913
Col1022,0.01352827984190837
Col1703,0.013532670059877173
Col2165,0.013567720680292822
Col1979,0.013628679678341308
Col263,0.013635254882066109
Col1408,0.013646823646664658
Col123,0.013796041485089356
Col396,0.013816639274894103
Col50,0.013875084946926814
Col2271,0.013947110509783896
Col136,0.013982905367296374
Col115,0.014023527313467989
Col1638,0.014066869716361306
Col1310,0.01411441498799617
Col795,0.014133074851578251
Col1825,0.014252326513329621
Col2314,0.014305014986311908
Col842,0.014388318824863047
Col1578,0.014443912355717075
Col1334,0.014444367910441323
Col2390,0.01447512666813915
Col1205,0.014486430165001517
Col1672,0.01449642061410731
Col2341,0.014537681864753611
Col2355,0.014547590652216558
Col451,0.01455705626331025
Col1253,0.014584904536185158
Col305,0.014604572354300797
Col77,0.014616518376991353
Col824,0.014618310824970204
Col469,0.014752634869661434
Col525,0.014766006089739754
Col419,0.014818813106527136
Col2032,0.014824006313152293
Col849,0.014836656177455816
Col1457,0.014959377764229575
Col105,0.014971598437510199
Col976,0.015034127891247102
Col1425,0.015069919924192649
Col229,0.015087794132404063
Col765,0.015133849272447627
Col1419,0.01520021687550634
Col1316,0.015203425477895334
Col962,0.01522990339312493
Col1201,0.015286070482896817
Col2044,0.015528635501295143
Col426,0.015557771354274353
Col1716,0.015755366468895044
Col1161,0.015797369322639948
Col814,0.015833461133291482
Col1135,0.015835861271216587
Col611,0.015841716377463545
Col449,0.015860176100033124
Col949,0.015888572087788048
Col1160,0.015889926970021187
Col737,0.015891163462647837
Col918,0.01596525483178151
