feature,imp
Col2168,0.0
Col1790,0.0
Col333,0.0
Col1794,0.0
Col1796,0.0
Col1797,0.0
Col1798,0.0
Col1799,0.0
Col329,0.0
Col328,0.0
Col1800,0.0
Col1801,0.0
Col1802,0.0
Col1803,0.0
Col1804,0.0
Col1805,0.0
Col1806,0.0
Col1807,0.0
Col1808,0.0
Col1811,0.0
Col1812,0.0
Col1814,0.0
Col1815,0.0
Col310,0.0
Col309,0.0
Col308,0.0
Col303,0.0
Col1821,0.0
Col337,0.0
Col300,0.0
Col1788,0.0
Col1786,0.0
Col358,0.0
Col357,0.0
Col355,0.0
Col1760,0.0
Col354,0.0
Col353,0.0
Col1763,0.0
Col352,0.0
Col351,0.0
Col35,0.0
Col349,0.0
Col1768,0.0
Col1769,0.0
Col348,0.0
Col1770,0.0
Col1771,0.0
Col1774,0.0
Col1775,0.0
Col1776,0.0
Col344,0.0
Col1778,0.0
Col1779,0.0
Col342,0.0
Col1780,0.0
Col1781,0.0
Col1782,0.0
Col1785,0.0
Col339,0.0
Col1755,0.0
Col1825,0.0
Col1828,0.0
Col1875,0.0
Col281,0.0
Col1877,0.0
Col1878,0.0
Col1879,0.0
Col1880,0.0
Col278,0.0
Col1882,0.0
Col276,0.0
Col1885,0.0
Col1887,0.0
Col1888,0.0
Col1889,0.0
Col275,0.0
Col1890,0.0
Col1891,0.0
Col266,0.0
Col259,0.0
Col1898,0.0
Col1899,0.0
Col242,0.0
Col1901,0.0
Col1902,0.0
Col1903,0.0
Col1905,0.0
Col1906,0.0
Col2391,0.0
Col1874,0.0
Col298,0.0
Col1872,0.0
Col1869,0.0
Col1829,0.0
Col297,0.0
Col1832,0.0
Col1834,0.0
Col1835,0.0
Col1837,0.0
Col1838,0.0
Col1840,0.0
Col1841,0.0
Col292,0.0
Col1843,0.0
Col288,0.0
Col1852,0.0
Col1853,0.0
Col1855,0.0
Col1856,0.0
Col1857,0.0
Col1858,0.0
Col1859,0.0
Col287,0.0
Col1860,0.0
Col1862,0.0
Col1863,0.0
Col286,0.0
Col1865,0.0
Col1866,0.0
Col1868,0.0
Col1870,0.0
Col1909,0.0
Col36,0.0
Col361,0.0
Col453,0.0
Col1641,0.0
Col1642,0.0
Col1643,0.0
Col1644,0.0
Col1648,0.0
Col1649,0.0
Col45,0.0
Col1650,0.0
Col1651,0.0
Col1652,0.0
