columns,rel_imp,sca_imp,percentage
Col2200,3.0042093992233276,0.004532472442293582,0.000162902590316992
Col2201,2.7608269453048706,0.004188294818841443,0.00014974749102242865
Col2202,0.0,0.0,0.0
Col2203,0.0,0.0,0.0
Col2204,0.0,0.0,0.0
Col2205,0.0,0.0,0.0
Col2206,2.119790554046631,0.0031935393168314443,0.00011493672014838602
Col2207,0.0,0.0,0.0
Col2208,0.0,0.0,0.0
Col2209,0.0,0.0,0.0
Col221,11.121122515760362,0.01646566700364177,0.0006052593413388814
Col2210,1.8872549533843994,0.002841890200836628,0.00010232602115859462
Col2211,4.139610528945923,0.006214575286845466,0.00022441275455857424
Col2212,3.2167227268218994,0.004841030477757023,0.00017440392968381046
Col2213,0.0,0.0,0.0
Col2214,0.0,0.0,0.0
Col2215,0.0,0.0,0.0
Col2216,3.1938596963882446,0.00480546862612935,0.00017316222543308212
Col2217,2.037269413471222,0.0030634954443088187,0.00011045185036905774
Col2218,1.947135090827942,0.0029273794922254825,0.00010556409859770137
Col2219,0.0,0.0,0.0
Col222,18.548756778240204,0.02735184645555242,0.0011156783468944693
Col2220,0.0,0.0,0.0
Col2221,0.0,0.0,0.0
Col2222,0.0,0.0,0.0
Col2223,0.0,0.0,0.0
Col2224,0.0,0.0,0.0
Col2225,0.0,0.0,0.0
Col2226,0.0,0.0,0.0
Col2227,0.0,0.0,0.0
Col2228,3.8533847332000732,0.005762883189106026,0.00020885575512504426
Col2229,1.1989459991455078,0.0019254272110243308,6.522662440435811e-05
Col223,0.8349336385726929,0.001485110921695075,4.5688044348101655e-05
Col2230,0.0,0.0,0.0
Col2231,0.0,0.0,0.0
Col2232,12.127829506061971,0.017903763288855602,0.0006621769348012195
Col2233,2.741103768348694,0.004160950857335905,0.00014868243600101
Col2234,0.0,0.0,0.0
Col2235,4.269264101982117,0.0064154383407524825,0.0002314528378255652
Col2236,0.0,0.0,0.0
Col2237,3.1018052101135254,0.00466590337928857,0.00016816933902856355
Col2238,3.918823480606079,0.0058625342618076805,0.00021240585183494496
Col2239,7.075078010559082,0.010560746732520106,0.0003834361791489769
Col224,7.496827687038376,0.011176804774455972,0.0004062687715607166
Col2240,0.0,0.0,0.0
Col2241,2.4611554741859436,0.0037306449598656054,0.0001334877114798872
Col2242,0.0,0.0,0.0
Col2243,0.0,0.0,0.0
Col2244,0.0,0.0,0.0
Col2245,4.722350239753723,0.007092850011876424,0.0002560100176107824
Col2246,8.663603476103162,0.012866714007917094,0.0004695348706683302
Col2247,6.224761486053467,0.009304232321114624,0.00033737636356805816
Col2248,4.671056509017944,0.0070122390227047495,0.0002532227069446251
Col2249,3.075477957725525,0.004625962863342471,0.00016674134489294676
Col225,4.669686317443848,0.0070107243699568346,0.00025314942322624494
Col2250,2.475757658481598,0.0037539476521782147,0.0001342818478306957
Col2251,0.0,0.0,0.0
Col2252,0.0,0.0,0.0
Col2253,1.1028978079557419,0.0018206846322745948,6.00921850737343e-05
Col2254,0.0,0.0,0.0
Col2255,10.33575274515897,0.015339077841741577,0.0005613275085357058
Col2256,2.379900634288788,0.003598038094490867,0.00012906329241763655
Col2257,4.296978116035461,0.006461340616962094,0.0002329631340361568
Col2258,0.0,0.0,0.0
Col2259,0.0,0.0,0.0
Col226,0.83432537317276,0.0014840289894947224,4.565475971890039e-05
Col2260,0.0,0.0,0.0
Col2261,2.564125180244446,0.003900676709257824,0.0001390981774625087
Col2262,0.0,0.0,0.0
Col2263,3.729352593421936,0.005577910220143857,0.00020213409717037106
Col2264,3.8041712045669556,0.005692379739378141,0.0002061940396185781
Col2265,0.0,0.0,0.0
Col2266,0.0,0.0,0.0
Col2267,0.0,0.0,0.0
Col2268,6.348030090332031,0.009481940781446225,0.0003440453951402357
Col2269,0.0,0.0,0.0
Col227,4.376575469970703,0.006580257696059967,0.00023727713088734825
Col2270,8.170187538220489,0.012137781859715684,0.0004427206036129292
Col2271,0.0,0.0,0.0
Col2272,0.0,0.0,0.0
Col2273,5.126752018928528,0.007700438684182676,0.0002779339595089183
Col2274,2.3911975026130676,0.003616327437692124,0.00012967814990725673
Col2275,0.0,0.0,0.0
Col2276,1.524174153804779,0.002329902737302507,8.270377194857684e-05
Col2277,1.6996048092842102,0.0025466512366836115,9.212846086541348e-05
Col2278,2.4121755957603455,0.0036488585695365334,0.00013081730066353295
Col2279,1.4375,0.0021995572016452044,7.800465703752013e-05
Col228,3.484230875968933,0.005214438760398506,0.0001888540777192553
Col2280,2.739353895187378,0.004157838327640858,0.00014858668194475422
Col2281,4.859050631523132,0.007293503438871344,0.00026341230649762934
Col2282,0.0,0.0,0.0
Col2283,0.0,0.0,0.0
Col2284,0.0,0.0,0.0
Col2285,0.0,0.0,0.0
Col2286,1.3904606103897095,0.0021461852492854153,7.548626751535197e-05
Col2287,6.704954624176025,0.010002971337302666,0.00036336748164332675
Col2288,6.359409809112549,0.009494294736215766,0.00034465361713578377
Col2289,4.3738343715667725,0.006577120620042651,0.0002371303287599082
Col229,6.385605812072754,0.009538248862887904,0.0003460822276644556
Col2290,1.6952692866325378,0.002538939567463694,9.189121859605129e-05
Col2291,0.0,0.0,0.0
Col2292,2.929373860359192,0.004424138212073303,0.00015885304244053452
Col2293,0.0,0.0,0.0
Col2294,0.0,0.0,0.0
Col2295,0.0,0.0,0.0
Col2296,2.360909104347229,0.003567606987524119,0.00012803021533056475
Col2297,2.2479469180107117,0.0033915958271458144,0.00012189461191328913
Col2298,0.0,0.0,0.0
Col2299,0.0,0.0,0.0
Col23,8.37044283535215,0.012408204550289946,0.00045354247023355357
Col230,2.459975242614746,0.00372921374656497,0.00013342435526949017
Col2300,3.2316380739212036,0.00486454412134883,0.00017521456701755344
Col2301,1.6919476389884949,0.0025330312952773874,9.170945614469141e-05
Col2302,4.16673731803894,0.006259449754779901,0.00022589094814727794
Col2303,3.6588873863220215,0.005483726010354942,0.0001983354047087369
Col2304,3.0787463188171387,0.004630493518088813,0.00016691783593891416
Col2305,0.0,0.0,0.0
Col2306,0.0,0.0,0.0
Col2307,0.0,0.0,0.0
Col2308,5.579972505569458,0.008370600961046214,0.0003024847408559335
Col2309,0.0,0.0,0.0
Col231,22.906779050827026,0.033838888370381286,0.0015769046308894271
Col2310,0.0,0.0,0.0
Col2311,7.123407602310181,0.01062782543466223,0.0003860461236250629
Col2312,0.0,0.0,0.0
